*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BITBA555_tutorial5
*Date=03:58:12
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
305;;;77.6217;-58.4683;0;Bottom;Via33
306;;DIP (Dual Inline) [THT];87.8118;-89.2784;-90;Bottom;IC6
307;;;53.5813;-16.0022;0;Bottom;Copper Fill72
308;;;67.6216;-10.4684;0;Bottom;Via11
309;;;31.1404;-8.6108;0;Bottom;Copper Fill33
310;;;87.4522;-11.227;0;Bottom;Copper Fill189
311;;;101.622;-55.4683;0;Bottom;Via35
312;100nF;100 mil [THT, multilayer];83.347;-58.4685;0;Bottom;C16
313;;;73.0758;-32.309;0;Bottom;Copper Fill167
314;;;96.4438;-86.9952;0;Bottom;Copper Fill101
315;;;64.6215;-10.4684;0;Bottom;Via13
316;;;55.002;-3.19213;0;Bottom;TXT8
317;;;43.6217;-52.4684;0;Bottom;Via24
318;220k;THT;51.6215;-31.5484;-90;Bottom;R13
319;;;85.4202;-44.0438;0;Bottom;Copper Fill143
320;300pF;100 mil [THT, multilayer];96.6216;-29.1935;180;Bottom;C11
321;;;34.6216;-52.4684;0;Bottom;Via22
322;;;45.974;-8.5854;0;Bottom;Copper Fill194
323;;;24.1808;-84.9124;0;Bottom;Copper Fill7
324;;;77.5208;-29.3626;0;Bottom;Copper Fill28
325;;;77.9018;-93.1039;0;Bottom;Copper Fill92
326;100µF;200 mil [THT, electrolytic];43.1617;-31.4683;0;Bottom;C7
327;;;47.6216;-10.4684;0;Bottom;Via8
328;;;22.0726;-19.1518;0;Bottom;Copper Fill188
329;180;THT;80.6216;-42.3883;-90;Bottom;R38
330;;;25.9461;-92.0498;0;Bottom;Copper Fill68
331;;;55.6218;-10.4684;0;Bottom;Via12
332;;;52.6217;-52.4684;0;Bottom;Via27
333;;THT;111.446;-72.938;0;Bottom;R58
334;;;67.1068;-30.4802;0;Bottom;Copper Fill165
335;;;73.8378;-53.2132;0;Bottom;Copper Fill17
336;;;59.563;-8.56;0;Bottom;Copper Fill197
337;;;35.6218;-10.4684;0;Bottom;Via3
338;;;61.6215;-52.4684;0;Bottom;Via32
339;;;94.234;-45.263;0;Bottom;Copper Fill140
340;;300 mil [THT];40.837;-86.4683;180;Bottom;D7
341;100nF;100 mil [THT, multilayer];58.8916;-75.4684;0;Bottom;C18
342;;;81.0514;-76.759;0;Bottom;Copper Fill105
343;;;84.1183;-96.3164;0;Bottom;TXT6
344;100k;THT;93.5417;-8.46828;0;Bottom;R47
345;;;32.1056;-85.9792;0;Bottom;Copper Fill100
346;;TO92 [THT];43.7106;-64.7377;-90;Bottom;Q6
347;3.3µF;100 mil [THT, electrolytic];11.6216;-83.7384;-90;Bottom;C17
348;;;47.0154;-92.6086;0;Bottom;Copper Fill4
349;;;49.6217;-52.4684;0;Bottom;Via26
